Clave,Nombre,Total de viviendas particulares,Ocupantes en viviendas particulares por clase de vivienda,Viviendas particulares por número de ocupantes,Promedio de ocupantes por vivienda particular,Viviendas particulares con piso diferente de tierra a/,Viviendas particulares que disponen de energía eléctrica b/,Viviendas particulares que disponen de agua de la red pública en el ámbito de la vivienda c/,Viviendas particulares que disponen de drenaje d/,Viviendas particulares que disponen de excusado o sanitario b/,Viviendas particulares que disponen de televisión,Viviendas particulares que disponen de refrigerador,Viviendas particulares que disponen de lavadora,Viviendas particulares que disponen de computadora,Total de viviendas particulares,Ocupantes en viviendas particulares por clase de vivienda,Viviendas particulares por número de ocupantes,Promedio de ocupantes por vivienda particular,Viviendas particulares con piso diferente de tierra a/,Viviendas particulares que disponen de energía eléctrica b/,Viviendas particulares que disponen de agua de la red pública en el ámbito de la vivienda c/,Viviendas particulares que disponen de drenaje d/,Viviendas particulares que disponen de excusado o sanitario b/,Viviendas particulares que disponen de televisión,Viviendas particulares que disponen de refrigerador,Viviendas particulares que disponen de lavadora,Viviendas particulares que disponen de computadora
1001,Aguascalientes,172191,720200,169361,4.2,165783,167358,165100,165966,166074,166255,159041,145690,53003,202059,794334,200980,3.9,198025,200175,197515,198667,199394,197400,188214,170657,81576
1002,Asientos,8482,40496,8448,4.8,7818,8143,8039,7356,7341,7914,6266,5997,514,10011,45435,10006,4.5,9714,9734,9646,9104,9136,9385,7923,7306,1260
1003,Calvillo,11208,50109,11149,4.5,10776,10999,10819,10906,10824,10778,9876,8627,989,12844,54071,12827,4.2,12480,12678,12460,12619,12640,12363,11672,10268,1939
1004,Cosío,2902,13687,2895,4.7,2750,2842,2851,2718,2635,2769,2154,1955,276,3467,15042,3462,4.3,3338,3386,3385,3338,3259,3295,2742,2328,507
1005,Jesús María,17727,82571,17473,4.7,16931,17121,16810,16953,16956,16998,15692,14187,3016,22917,99544,22801,4.4,22164,22498,22134,22353,22349,22183,20615,18493,6839
1006,Pabellón de Arteaga,8346,38842,8295,4.7,8114,8171,8025,7999,8031,8066,7176,6645,1331,9413,41815,9385,4.5,9231,9276,8941,9177,9208,9105,8216,7612,2301
1007,Rincón de Romos,9484,45386,9383,4.8,8989,9214,9009,8922,8826,9108,7821,6944,1513,11086,49104,11078,4.4,10643,10947,10620,10688,10635,10693,9380,8242,2400
1008,San José de Gracia,1639,7631,1632,4.7,1569,1567,1538,1346,1313,1484,1256,1030,136,1899,8443,1883,4.5,1853,1842,1784,1705,1682,1723,1513,1293,267
1009,Tepezalá,3616,17369,3599,4.8,3452,3508,3470,3310,3253,3416,2779,2593,255,4446,19668,4444,4.4,4334,4365,4331,4232,4188,4196,3591,3189,500
1010,El Llano,3552,16778,3539,4.7,3355,3374,3370,3015,3005,3298,2673,2368,210,4158,18504,4154,4.5,4042,4000,3955,3754,3752,3934,3240,2834,476
1011,San Francisco de los Romo,6478,28827,6395,4.4,6260,6342,6223,6268,6235,6244,5735,5200,711,8477,35769,8424,4.2,8297,8365,8271,8340,8322,8207,7517,6732,1514
1996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Ensenada,110453,407974,104573,3.7,99324,99753,93902,83069,100695,96830,89721,78566,27417,129558,461263,126522,3.6,121262,122801,113352,105551,124463,118836,109506,97098,50670
2002,Mexicali,229477,850262,215607,3.7,207642,211350,206796,191080,209780,210107,207294,186902,63367,265730,931281,258788,3.5,251270,255947,251280,239219,255456,252589,248611,224211,117068
2003,Tecate,23111,86661,21213,3.7,19673,19613,16868,18482,19943,19547,18929,16450,5169,26227,96170,25471,3.7,24482,24605,21651,23579,24949,24447,23377,20757,10497
2004,Tijuana,357064,1398172,324987,3.9,305823,314410,303267,302855,310250,313060,297402,237123,88755,423741,1545221,419357,3.7,400108,415063,402000,407266,413637,409729,388093,323238,187376
2005,Playas de Rosarito,18233,73012,15756,4,14909,15044,11288,14438,15061,14949,14313,11160,3632,25054,90103,23116,3.6,21758,22249,19046,21402,22311,21960,20683,16980,8623
2996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,
2997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,Comondú,16655,63126,16387,3.8,14494,15619,15301,13002,15775,15244,14427,10769,2736,19048,69574,18977,3.7,17886,18444,16996,16037,18441,17941,16854,13245,5452
3002,Mulegé,14096,51600,13555,3.7,12089,12889,10681,10061,12011,11375,10119,8084,2527,16629,58627,16391,3.5,15760,15633,14654,13549,15424,14903,12874,10669,5822
3003,La Paz,58613,217846,55445,3.7,52527,53309,50911,51880,52988,52510,50885,37720,18083,71099,248784,69894,3.5,67760,68404,65243,67546,69117,67228,65328,51932,34520
3008,Los Cabos,43473,163710,40866,3.8,35909,38949,30806,38234,38618,37818,34981,23222,8269,66588,237557,64634,3.6,58040,62067,52214,62244,63228,60706,55815,40160,24872
3009,Loreto,3075,11659,3031,3.8,2545,2700,2719,2609,2921,2689,2482,2114,737,4715,16532,4545,3.5,4114,4055,3966,4122,4336,4089,3663,3100,1653
3996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,
3997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,Calkiní,11022,49830,10907,4.5,9380,10432,9405,6180,7842,9088,5438,5500,1053,12726,52858,12664,4.2,12217,12369,11390,8170,9707,11185,7705,7625,2178
4002,Campeche,62333,237248,61303,3.8,59069,59876,58462,56755,57743,58002,52864,46366,13636,71454,257522,71022,3.6,69324,70030,68351,67824,68780,67952,62859,55400,26019
4003,Carmen,50586,199391,49464,3.9,45291,47567,37988,46140,46991,44965,41316,37102,9816,58990,220581,57628,3.8,54749,56437,42445,54391,56190,53279,49620,45220,20087
4004,Champotón,18239,76092,18038,4.2,16346,17121,14934,12130,15516,15187,11915,11030,887,21216,82996,21103,3.9,20093,20368,17149,16912,19001,18384,15339,14053,2380
4005,Hecelchakán,5962,26973,5918,4.5,5489,5481,5106,2924,4273,4796,2920,2962,414,6771,28299,6764,4.2,6551,6566,5654,4210,5336,5873,4103,4157,920
4006,Hopelchén,7092,34670,7078,4.9,6385,6336,6095,3297,4303,4923,3286,3827,228,8329,37733,8329,4.5,7938,7869,7469,5618,6860,6072,4546,5069,570
4007,Palizada,2059,8287,2058,4,1733,1890,1304,1839,1931,1673,1419,1165,85,2193,8352,2181,3.8,2008,2048,1229,1642,2039,1834,1635,1411,317
4008,Tenabo,1978,9050,1976,4.6,1868,1829,1718,759,1046,1721,1127,1150,62,2376,9736,2376,4.1,2304,2270,1992,1312,1596,2129,1622,1526,208
4009,Escárcega,11478,50066,11355,4.4,10015,10604,10603,8353,10234,9511,7622,6308,606,13337,54151,13296,4.1,12262,12665,12601,11015,12050,11392,9721,8012,1678
4010,Calakmul,4902,23798,4832,4.9,3296,3850,1378,1563,4176,2136,1781,1433,58,5908,26882,5898,4.6,5067,5434,2933,2891,5247,3712,3052,2499,220
4011,Candelaria,8439,36980,8306,4.4,6194,6250,6553,5101,6677,5663,4204,3407,216,10365,41159,10294,4,8462,8625,8084,6919,8589,7278,5907,4736,583
4996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,
4997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,Abasolo,313,991,309,3.2,308,305,300,291,306,297,293,259,29,362,1070,362,3,362,357,349,334,359,352,348,300,48
5002,Acuña,31139,126002,30584,4,29331,30197,29524,27162,29820,29799,28835,23749,4259,36749,136489,36126,3.7,35451,35782,34759,34915,35715,35182,33942,28156,8306
5003,Allende,5368,20133,5240,3.8,5179,5176,5113,4589,5121,5120,5073,4523,871,6322,22646,6165,3.6,6101,6133,6048,5620,6063,6049,5974,5313,1626
5004,Arteaga,4868,19580,4845,4,4447,4676,3881,4176,4466,4178,3827,3513,245,5901,22488,5832,3.8,5617,5681,5073,5420,5507,5298,4906,4352,700
5005,Candela,492,1672,492,3.4,477,465,446,338,474,444,430,344,22,529,1808,524,3.4,515,511,505,417,514,491,481,406,77
5006,Castaños,5996,23857,5984,4,5880,5811,5341,4282,5776,5616,5614,4654,684,6856,25866,6835,3.8,6773,6750,5951,5571,6673,6549,6474,5451,1526
5007,Cuatro Ciénegas,3138,12210,3122,3.9,2940,2876,2630,2199,2960,2687,2526,2104,356,3605,13013,3594,3.6,3476,3423,3218,2770,3389,3197,3005,2464,696
5008,Escobedo,746,2778,745,3.7,728,717,634,454,723,685,671,559,22,810,2901,806,3.6,800,789,658,581,788,761,744,612,65
5009,Francisco I. Madero,12266,51528,12227,4.2,11571,12041,11246,9871,11580,11856,11026,8998,1183,13976,55675,13946,4,13661,13785,13318,12147,13317,13560,12783,10622,2637
5010,Frontera,17620,70158,17467,4,17180,17213,16647,15770,16994,17025,16776,14819,2358,19466,75171,19376,3.9,19154,19224,18692,18220,19096,18995,18610,16293,5216
5011,General Cepeda,2830,11271,2822,4,2715,2691,2523,2192,2461,2113,2235,1727,114,3102,11681,3096,3.8,3040,3012,2886,2569,2742,2508,2578,1983,198
5012,Guerrero,563,1877,559,3.3,546,514,411,372,529,492,489,370,25,619,2091,575,3.4,563,553,522,451,546,528,523,419,88
5013,Hidalgo,416,1516,412,3.6,394,383,379,182,372,368,359,267,29,500,1852,436,3.8,418,420,416,340,406,417,390,325,57
5014,Jiménez,2508,9735,2476,3.9,2372,2332,1913,939,2428,2233,2211,1745,76,2666,9864,2641,3.7,2565,2533,1866,1876,2350,2411,2400,1952,219
5015,Juárez,393,1393,393,3.5,389,370,343,151,375,354,353,310,26,448,1599,446,3.6,441,434,370,408,419,422,417,364,64
5016,Lamadrid,492,1708,491,3.5,487,477,473,329,484,454,453,387,52,549,1835,548,3.3,542,539,530,484,537,521,513,431,73
5017,Matamoros,22761,99640,22534,4.4,21087,22125,21504,19141,20696,21935,20728,17002,2264,26128,107094,25991,4.1,25226,25776,25165,23737,24733,25391,24026,19620,4869
5018,Monclova,52063,199451,51346,3.8,50925,50878,49837,48785,49964,50504,49977,45264,12166,58919,216009,58357,3.7,57649,57938,56834,57122,57662,57308,56448,50459,22374
