Clave,Nombre,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos
1001,Aguascalientes,10188,1571,175,132,1799,5231,1280,11588,2150,232,108,2184,3584,3330,15203,2397,207,107,2700,5738,4054,16302,2430,231,146,2584,7360,3551,16701,2140,274,159,2640,7354,4134,15825,1900,285,169,2345,7162,3964
1002,Asientos,166,22,11,5,56,36,36,197,29,8,11,49,41,59,203,32,5,16,62,47,41,144,24,5,17,43,43,12,275,49,4,12,88,70,52,261,28,9,10,68,79,67
1003,Calvillo,224,35,3,6,35,91,54,231,31,15,11,32,84,58,219,31,9,13,37,71,58,327,56,19,16,73,94,69,263,34,12,4,55,70,88,349,36,9,13,57,114,120
1004,Cosío,56,6,0,5,11,27,7,64,8,5,2,15,13,21,43,6,1,3,13,9,11,39,6,0,6,10,13,4,88,8,3,3,22,24,28,132,12,4,4,11,39,62
1005,Jesús María,671,93,17,17,116,310,118,731,99,19,12,140,170,291,746,133,27,14,157,251,164,824,120,14,24,179,318,169,1150,112,23,24,192,235,564,1118,131,24,21,210,459,273
1006,Pabellón de Arteaga,282,34,9,8,66,106,59,430,67,11,12,99,114,127,440,72,9,15,94,145,105,452,70,8,10,77,211,76,526,81,4,19,111,200,111,461,55,6,13,99,206,82
1007,Rincón de Romos,308,50,13,8,88,82,67,417,85,9,14,91,71,147,381,79,11,11,100,94,86,269,34,10,15,41,118,51,417,52,9,22,81,174,79,462,62,12,15,86,228,59
1008,San José de Gracia,49,4,2,2,13,18,10,302,40,4,12,66,84,96,71,2,3,5,26,13,22,56,6,3,0,11,23,13,108,17,0,0,40,26,25,87,16,0,1,35,15,20
1009,Tepezalá,54,8,2,2,15,16,11,99,14,0,7,19,27,32,69,12,2,1,14,25,15,55,9,3,6,16,16,5,108,12,2,3,18,49,24,103,10,3,7,25,38,20
1010,El Llano,89,13,2,0,17,39,18,124,19,8,2,15,39,41,166,21,4,9,42,56,34,156,32,5,2,37,57,23,191,24,1,7,42,66,51,168,24,6,7,44,48,39
1011,San Francisco de los Romo,201,27,2,8,40,100,24,52,1,2,1,25,9,14,304,39,10,7,50,125,73,266,42,5,7,47,132,33,472,70,11,10,114,163,104,398,45,15,16,67,171,84
1996,No especificado,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,4,,,,,,,,0,0,0,0,0,0,0
1997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Ensenada,13030,1485,234,35,1463,5396,4417,15925,1600,321,50,1691,7319,4944,17466,2551,310,162,2077,8459,3907,17118,2490,394,872,2180,8003,3179,15394,1567,403,37,1960,6408,5019,14698,2520,655,40,1970,6628,2885
2002,Mexicali,40583,3649,458,113,4064,16565,15734,43851,3762,516,85,4574,19314,15600,46569,5998,1979,235,3524,19982,14851,50797,6015,1038,884,5020,21486,16354,39868,3376,571,97,4148,19537,12139,34348,3651,738,103,3095,21402,5359
2003,Tecate,4358,552,61,15,728,1707,1295,4850,624,90,21,828,1843,1444,6334,1094,216,62,872,2594,1496,5784,879,141,160,830,2464,1310,4302,466,61,32,562,1920,1261,4152,603,144,20,530,2084,771
2004,Tijuana,48267,4580,784,352,5923,26318,10310,54217,4764,882,236,6370,29484,12481,75408,8373,2692,434,7526,43029,13354,81816,9717,1914,1589,6266,47575,14755,66442,4833,957,556,7032,48414,4650,55281,6153,1532,688,6144,31495,9269
2005,Playas de Rosarito,4109,353,68,24,595,1792,1277,4461,461,138,19,604,1899,1340,4138,575,200,36,458,2025,844,4543,602,103,181,585,2251,821,3192,239,66,27,378,1733,749,2916,377,121,33,330,1553,502
2996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
2997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,Comondú,1288,106,18,12,148,610,394,1535,121,25,8,140,677,564,1303,100,29,14,106,629,425,1274,154,21,8,141,551,399,1099,125,17,7,110,481,359,1130,141,28,14,81,498,368
3002,Mulegé,1158,85,32,19,136,578,308,1128,86,23,17,128,455,419,1235,88,39,17,122,473,496,1191,105,30,10,116,437,493,1089,86,28,13,91,367,504,1063,92,22,11,113,382,443
