Clave,Nombre,Índice de agua entubada a/,Índice de drenaje b/,Índice de electricidad c/,Índice de desarrollo humano con servicios d/,Índice de desarrollo humano per cápita e/,Índice de desarrollo humano relativo al género f/,Índice de agua entubada a/,Índice de drenaje b/,Índice de electricidad c/,Índice de desarrollo humano con servicios d/,Índice de desarrollo humano per cápita e/,Índice de desarrollo humano relativo al género f/
1001,Aguascalientes,0.979,0.978,0.988,0.894,0.834,0.826,0.991,0.988,0.996,0.899,ND,ND
1002,Asientos,0.963,0.878,0.968,0.879,0.8,0.791,0.978,0.917,0.977,0.884,ND,ND
1003,Calvillo,0.974,0.978,0.988,0.891,0.809,0.798,0.981,0.985,0.991,0.901,ND,ND
1004,Cosío,0.993,0.946,0.985,0.89,0.805,0.792,0.995,0.968,0.979,0.889,ND,ND
1005,Jesús María,0.971,0.97,0.98,0.892,0.824,0.815,0.983,0.981,0.987,0.898,ND,ND
1006,Pabellón de Arteaga,0.97,0.965,0.984,0.888,0.814,0.807,0.984,0.979,0.989,0.897,ND,ND
1007,Rincón de Romos,0.971,0.951,0.984,0.876,0.796,0.789,0.985,0.966,0.99,0.886,ND,ND
1008,San José de Gracia,0.984,0.831,0.963,0.866,0.79,0.784,0.971,0.915,0.98,0.898,ND,ND
1009,Tepezalá,0.978,0.927,0.977,0.888,0.8,0.784,0.991,0.958,0.986,0.895,ND,ND
1010,El Llano,0.97,0.856,0.954,0.874,0.798,0.788,0.98,0.912,0.969,0.88,ND,ND
1011,San Francisco de los Romo,0.978,0.979,0.991,0.907,0.828,0.816,0.992,0.991,0.994,0.904,ND,ND
1996,No especificado,0,0,0,0,0,0,,,,,,
1997,Otros estados,,,,,,,,,,,,
2001,Ensenada,0.898,0.761,0.943,0.836,0.803,0.797,0.906,0.813,0.971,0.852,ND,ND
2002,Mexicali,0.962,0.876,0.978,0.864,0.814,0.807,0.98,0.921,0.992,0.877,ND,ND
2003,Tecate,0.797,0.858,0.913,0.84,0.807,0.798,0.89,0.929,0.972,0.862,ND,ND
2004,Tijuana,0.946,0.928,0.967,0.864,0.811,0.804,0.973,0.972,0.992,0.876,ND,ND
2005,Playas de Rosarito,0.685,0.866,0.906,0.829,0.815,0.805,0.84,0.928,0.969,0.858,ND,ND
2996,No especificado,0,0,0,0,0,0,,,,,,
2997,Otros estados,,,,,,,,,,,,
3001,Comondú,0.943,0.785,0.953,0.855,0.795,0.787,0.964,0.842,0.977,0.872,ND,ND
3002,Mulegé,0.893,0.736,0.948,0.835,0.792,0.78,0.923,0.82,0.956,0.857,ND,ND
3003,La Paz,0.934,0.934,0.961,0.879,0.824,0.819,0.951,0.965,0.98,0.889,ND,ND
3008,Los Cabos,0.755,0.936,0.954,0.861,0.837,0.831,0.888,0.966,0.964,0.878,ND,ND
3009,Loreto,0.917,0.859,0.889,0.847,0.807,0.8,0.919,0.915,0.905,0.859,ND,ND
3996,No especificado,0,0,0,0,0,0,,,,,,
3997,Otros estados,,,,,,,,,,,,
4001,Calkiní,0.912,0.562,0.958,0.805,0.774,0.77,0.933,0.655,0.983,0.827,ND,ND
4002,Campeche,0.975,0.924,0.976,0.879,0.831,0.828,0.986,0.957,0.99,0.887,ND,ND
4003,Carmen,0.789,0.928,0.96,0.848,0.867,0.855,0.811,0.945,0.983,0.854,ND,ND
4004,Champotón,0.872,0.66,0.953,0.82,0.778,0.768,0.891,0.803,0.975,0.843,ND,ND
4005,Hecelchakán,0.906,0.486,0.918,0.802,0.783,0.774,0.902,0.63,0.974,0.828,ND,ND
4006,Hopelchén,0.908,0.46,0.894,0.798,0.767,0.762,0.948,0.675,0.954,0.833,ND,ND
4007,Palizada,0.636,0.886,0.919,0.804,0.757,0.748,0.669,0.755,0.945,0.805,ND,ND
4008,Tenabo,0.925,0.385,0.935,0.8,0.808,0.797,0.936,0.571,0.968,0.821,ND,ND
4009,Escárcega,0.949,0.72,0.937,0.826,0.773,0.766,0.971,0.827,0.959,0.853,ND,ND
4010,Calakmul,0.606,0.31,0.797,0.735,0.742,0.721,0.684,0.476,0.933,0.78,ND,ND
4011,Candelaria,0.807,0.599,0.739,0.782,0.754,0.745,0.846,0.676,0.857,0.802,ND,ND
4996,No especificado,0,0,0,0,0,0,,,,,,
4997,Otros estados,,,,,,,,,,,,
5001,Abasolo,0.979,0.937,0.993,0.9,0.839,0.834,0.975,0.936,0.993,0.884,ND,ND
5002,Acuña,0.982,0.884,0.987,0.872,0.833,0.828,0.988,0.967,0.993,0.884,ND,ND
5003,Allende,0.981,0.873,0.99,0.86,0.818,0.811,0.991,0.909,0.997,0.879,ND,ND
5004,Arteaga,0.83,0.866,0.974,0.858,0.823,0.811,0.897,0.935,0.983,0.875,ND,ND
5005,Candela,0.945,0.678,0.966,0.845,0.817,0.813,0.988,0.79,0.991,0.864,ND,ND
5006,Castaños,0.934,0.711,0.977,0.86,0.829,0.818,0.948,0.817,0.991,0.869,ND,ND
5007,Cuatro Ciénegas,0.865,0.699,0.923,0.839,0.825,0.816,0.914,0.767,0.956,0.843,ND,ND
5008,Escobedo,0.943,0.608,0.97,0.839,0.802,0.787,0.865,0.736,0.988,0.853,ND,ND
5009,Francisco I. Madero,0.959,0.809,0.988,0.866,0.819,0.813,0.993,0.877,0.992,0.868,ND,ND
5010,Frontera,0.975,0.903,0.986,0.883,0.829,0.817,0.988,0.94,0.993,0.886,ND,ND
5011,General Cepeda,0.929,0.796,0.962,0.862,0.821,0.81,0.967,0.849,0.98,0.873,ND,ND
5012,Guerrero,0.761,0.647,0.929,0.815,0.82,0.805,0.932,0.791,0.976,0.85,ND,ND
5013,Hidalgo,0.97,0.441,0.945,0.823,0.813,0.792,0.983,0.771,0.979,0.855,ND,ND
5014,Jiménez,0.804,0.363,0.942,0.789,0.819,0.812,0.74,0.706,0.964,0.815,ND,ND
5015,Juárez,0.902,0.395,0.955,0.815,0.815,0.8,0.96,0.921,0.974,0.889,ND,ND
5016,Lamadrid,0.97,0.696,0.979,0.859,0.817,0.815,0.992,0.888,0.991,0.887,ND,ND
5017,Matamoros,0.981,0.856,0.983,0.871,0.821,0.815,0.992,0.921,0.994,0.881,ND,ND
5018,Monclova,0.99,0.947,0.991,0.897,0.841,0.834,0.99,0.98,0.994,0.895,ND,ND
5019,Morelos,0.953,0.756,0.991,0.859,0.832,0.819,0.984,0.855,0.998,0.877,ND,ND
5020,Múzquiz,0.973,0.809,0.978,0.857,0.82,0.811,0.982,0.89,0.987,0.869,ND,ND
5021,Nadadores,0.89,0.66,0.988,0.845,0.827,0.822,0.974,0.801,0.994,0.858,ND,ND
5022,Nava,0.967,0.803,0.98,0.874,0.849,0.836,0.98,0.901,0.988,0.886,ND,ND
5023,Ocampo,0.71,0.694,0.938,0.827,0.825,0.803,0.843,0.823,0.972,0.859,ND,ND
5024,Parras,0.884,0.83,0.982,0.846,0.803,0.798,0.938,0.873,0.988,0.868,ND,ND
5025,Piedras Negras,0.984,0.947,0.984,0.877,0.828,0.822,0.995,0.98,0.996,0.885,ND,ND
5026,Progreso,0.93,0.585,0.971,0.833,0.823,0.811,0.968,0.796,0.985,0.872,ND,ND
5027,Ramos Arizpe,0.934,0.892,0.973,0.883,0.842,0.832,0.959,0.924,0.991,0.89,ND,ND
5028,Sabinas,0.984,0.927,0.99,0.882,0.83,0.822,0.993,0.952,0.994,0.894,ND,ND
5029,Sacramento,0.994,0.71,0.99,0.856,0.82,0.815,0.993,0.799,0.986,0.865,ND,ND
5030,Saltillo,0.973,0.97,0.987,0.896,0.843,0.836,0.988,0.982,0.995,0.897,ND,ND
5031,San Buenaventura,0.962,0.82,0.977,0.872,0.829,0.822,0.987,0.903,0.995,0.88,ND,ND
5032,San Juan de Sabinas,0.953,0.895,0.984,0.88,0.839,0.834,0.985,0.948,0.983,0.882,ND,ND
5033,San Pedro,0.971,0.78,0.982,0.855,0.805,0.8,0.955,0.901,0.987,0.863,ND,ND
5034,Sierra Mojada,0.869,0.906,0.897,0.876,0.865,0.845,0.946,0.927,0.928,0.894,ND,ND
5035,Torreón,0.992,0.971,0.988,0.891,0.839,0.833,0.992,0.983,0.997,0.891,ND,ND
5036,Viesca,0.973,0.623,0.971,0.841,0.808,0.797,0.971,0.833,0.985,0.862,ND,ND
5037,Villa Unión,0.972,0.683,0.965,0.837,0.806,0.808,0.985,0.829,0.978,0.863,ND,ND
5038,Zaragoza,0.933,0.761,0.973,0.851,0.823,0.815,0.984,0.827,0.983,0.872,ND,ND
5996,No especificado,0,0,0,0,0,0,,,,,,
5997,Otros estados,,,,,,,,,,,,
5998,Otros municipios,,,,,,,,,,,,
6001,Armería,0.97,0.962,0.986,0.852,0.75,0.741,0.978,0.968,0.988,0.867,ND,ND
6002,Colima,0.979,0.983,0.983,0.892,0.816,0.812,0.992,0.992,0.995,0.896,ND,ND
6003,Comala,0.968,0.935,0.967,0.881,0.79,0.783,0.989,0.974,0.978,0.887,ND,ND
6004,Coquimatlán,0.98,0.983,0.981,0.876,0.776,0.769,0.986,0.988,0.991,0.875,ND,ND
6005,Cuauhtémoc,0.96,0.978,0.978,0.893,0.802,0.791,0.987,0.992,0.994,0.89,ND,ND
6006,Ixtlahuacán,0.947,0.927,0.95,0.858,0.764,0.764,0.97,0.95,0.973,0.866,ND,ND
6007,Manzanillo,0.97,0.977,0.986,0.891,0.829,0.823,0.982,0.985,0.994,0.892,ND,ND
6008,Minatitlán,0.878,0.94,0.946,0.871,0.837,0.82,0.972,0.968,0.985,0.889,ND,ND
6009,Tecomán,0.975,0.98,0.982,0.86,0.765,0.757,0.975,0.982,0.989,0.865,ND,ND
6010,Villa de Álvarez,0.99,0.994,0.99,0.914,0.837,0.833,0.996,0.997,0.997,0.912,ND,ND
6996,No especificado,0,0,0,0,0,0,,,,,,
6997,Otros estados,,,,,,,,,,,,
7001,Acacoyagua,0.781,0.867,0.909,0.806,0.709,0.69,0.844,0.907,0.946,0.828,ND,ND
7002,Acala,0.889,0.889,0.952,0.812,0.693,0.679,0.947,0.896,0.974,0.818,ND,ND
7003,Acapetahua,0.42,0.85,0.964,0.765,0.693,0.68,0.452,0.887,0.973,0.775,ND,ND
7004,Altamirano,0.847,0.81,0.867,0.77,0.65,0.624,0.758,0.606,0.912,0.746,ND,ND
7005,Amatán,0.567,0.719,0.821,0.723,0.65,0.615,0.696,0.909,0.855,0.751,ND,ND
7006,Amatenango de la Frontera,0.791,0.866,0.962,0.805,0.671,0.651,0.877,0.894,0.962,0.826,ND,ND
7007,Amatenango del Valle,0.675,0.377,0.942,0.648,0.6,0.58,0.678,0.58,0.932,0.729,ND,ND
7008,Angel Albino Corzo,0.769,0.891,0.91,0.764,0.676,0.666,0.924,0.923,0.957,0.817,ND,ND
7009,Arriaga,0.762,0.891,0.969,0.826,0.747,0.74,0.712,0.943,0.983,0.823,ND,ND
7010,Bejucal de Ocampo,0.355,0.446,0.959,0.695,0.666,0.665,0.45,0.577,0.974,0.746,ND,ND
7011,Bella Vista,0.579,0.602,0.938,0.771,0.687,0.664,0.685,0.811,0.961,0.809,ND,ND
7012,Berriozábal,0.708,0.887,0.93,0.801,0.737,0.718,0.641,0.897,0.916,0.793,ND,ND
7013,Bochil,0.856,0.845,0.982,0.784,0.668,0.661,0.881,0.936,0.978,0.818,ND,ND
7014,El Bosque,0.954,0.893,0.974,0.732,0.539,0.483,0.931,0.853,0.97,0.769,ND,ND
7015,Cacahoatán,0.818,0.89,0.955,0.809,0.705,0.698,0.922,0.932,0.977,0.833,ND,ND
7016,Catazajá,0.82,0.857,0.935,0.818,0.72,0.711,0.905,0.898,0.962,0.841,ND,ND
7017,Cintalapa,0.836,0.782,0.942,0.815,0.727,0.719,0.862,0.885,0.965,0.836,ND,ND
7018,Coapilla,0.95,0.734,0.936,0.814,0.692,0.664,0.982,0.879,0.954,0.83,ND,ND
7019,Comitán de Domínguez,0.876,0.798,0.971,0.819,0.753,0.747,0.873,0.871,0.986,0.839,ND,ND
7020,La Concordia,0.656,0.808,0.903,0.764,0.676,0.662,0.741,0.868,0.94,0.787,ND,ND
7021,Copainalá,0.91,0.856,0.888,0.819,0.711,0.698,0.927,0.888,0.959,0.839,ND,ND
7022,Chalchihuitán,0.322,0.024,0.777,0.539,0.562,0.544,0.305,0.248,0.801,0.568,ND,ND
7023,Chamula,0.662,0.118,0.922,0.579,0.562,0.526,0.717,0.377,0.96,0.666,ND,ND
7024,Chanal,0.49,0.004,0.912,0.57,0.56,0.535,0.542,0.113,0.95,0.615,ND,ND
7025,Chapultenango,0.885,0.856,0.859,0.795,0.659,0.638,0.834,0.913,0.923,0.82,ND,ND
7026,Chenalhó,0.653,0.249,0.914,0.625,0.574,0.558,0.698,0.382,0.945,0.675,ND,ND
7027,Chiapa de Corzo,0.809,0.867,0.954,0.821,0.74,0.733,0.859,0.952,0.987,0.838,ND,ND
7028,Chiapilla,0.971,0.954,0.963,0.832,0.691,0.637,0.992,0.936,0.983,0.811,ND,ND
7029,Chicoasén,0.954,0.892,0.966,0.853,0.753,0.726,0.947,0.948,0.987,0.847,ND,ND
7030,Chicomuselo,0.64,0.787,0.936,0.783,0.689,0.681,0.703,0.847,0.955,0.805,ND,ND
7031,Chilón,0.749,0.321,0.786,0.662,0.604,0.564,0.809,0.525,0.845,0.706,ND,ND
7032,Escuintla,0.597,0.846,0.919,0.78,0.703,0.694,0.794,0.885,0.95,0.815,ND,ND
7033,Francisco León,0.699,0.723,0.845,0.76,0.674,0.669,0.86,0.848,0.935,0.794,ND,ND
7034,Frontera Comalapa,0.88,0.851,0.958,0.834,0.725,0.717,0.875,0.936,0.981,0.849,ND,ND
7035,Frontera Hidalgo,0.594,0.91,0.946,0.781,0.688,0.676,0.642,0.932,0.974,0.787,ND,ND
7036,La Grandeza,0.537,0.276,0.94,0.714,0.685,0.683,0.54,0.701,0.953,0.769,ND,ND
7037,Huehuetán,0.372,0.782,0.93,0.747,0.688,0.678,0.345,0.875,0.965,0.756,ND,ND
7038,Huixtán,0.566,0.166,0.927,0.626,0.608,0.561,0.682,0.189,0.946,0.68,ND,ND
7039,Huitiupán,0.662,0.247,0.861,0.673,0.627,0.61,0.777,0.487,0.919,0.726,ND,ND
7040,Huixtla,0.667,0.9,0.94,0.794,0.728,0.719,0.64,0.926,0.978,0.805,ND,ND
7041,La Independencia,0.889,0.326,0.97,0.765,0.693,0.65,0.908,0.516,0.974,0.801,ND,ND
7042,Ixhuatán,0.948,0.962,0.945,0.82,0.664,0.632,0.971,0.967,0.976,0.831,ND,ND
7043,Ixtacomitán,0.726,0.862,0.855,0.779,0.695,0.681,0.793,0.907,0.901,0.827,ND,ND
7044,Ixtapa,0.967,0.793,0.974,0.825,0.691,0.677,0.961,0.911,0.971,0.838,ND,ND
7045,Ixtapangajoya,0.552,0.918,0.902,0.765,0.664,0.636,0.702,0.9,0.938,0.793,ND,ND
7046,Jiquipilas,0.767,0.869,0.942,0.818,0.711,0.702,0.779,0.913,0.972,0.836,ND,ND
7047,Jitotol,0.977,0.878,0.918,0.803,0.652,0.641,0.954,0.882,0.967,0.818,ND,ND
7048,Juárez,0.586,0.883,0.928,0.797,0.72,0.706,0.617,0.922,0.97,0.801,ND,ND
7049,Larráinzar,0.593,0.393,0.941,0.637,0.563,0.531,0.755,0.506,0.947,0.717,ND,ND
7050,La Libertad,0.618,0.852,0.906,0.795,0.714,0.681,0.678,0.893,0.954,0.804,ND,ND
7051,Mapastepec,0.663,0.892,0.951,0.784,0.688,0.675,0.642,0.937,0.963,0.806,ND,ND
7052,Las Margaritas,0.657,0.302,0.872,0.703,0.674,0.655,0.608,0.339,0.888,0.702,ND,ND
7053,Mazapa de Madero,0.695,0.812,0.967,0.798,0.684,0.669,0.639,0.868,0.97,0.814,ND,ND
7054,Mazatán,0.264,0.88,0.963,0.758,0.705,0.691,0.269,0.925,0.981,0.76,ND,ND
7055,Metapa,0.671,0.866,0.955,0.785,0.719,0.724,0.668,0.95,0.975,0.794,ND,ND
7056,Mitontic,0.332,0.262,0.972,0.584,0.547,0.48,0.531,0.202,0.969,0.604,ND,ND
7057,Motozintla,0.478,0.858,0.954,0.778,0.698,0.691,0.761,0.926,0.981,0.827,ND,ND
7058,Nicolás Ruíz,0.944,0.9,0.939,0.802,0.672,0.652,0.983,0.938,0.949,0.817,ND,ND
7059,Ocosingo,0.636,0.476,0.816,0.713,0.661,0.643,0.866,0.584,0.888,0.752,ND,ND
7060,Ocotepec,0.844,0.876,0.905,0.728,0.598,0.569,0.943,0.793,0.95,0.724,ND,ND
7061,Ocozocoautla de Espinosa,0.787,0.812,0.935,0.803,0.717,0.706,0.821,0.877,0.951,0.818,ND,ND
7062,Ostuacán,0.564,0.806,0.81,0.758,0.692,0.66,0.712,0.89,0.893,0.805,ND,ND
7063,Osumacinta,0.984,0.968,0.988,0.86,0.749,0.739,0.99,0.989,0.987,0.87,ND,ND
7064,Oxchuc,0.368,0.165,0.763,0.625,0.639,0.621,0.304,0.31,0.85,0.647,ND,ND
7065,Palenque,0.808,0.711,0.919,0.795,0.716,0.707,0.839,0.793,0.949,0.812,ND,ND
7066,Pantelhó,0.805,0.62,0.742,0.668,0.584,0.539,0.81,0.634,0.897,0.674,ND,ND
7067,Pantepec,0.836,0.884,0.948,0.755,0.639,0.621,0.934,0.929,0.964,0.799,ND,ND
7068,Pichucalco,0.678,0.884,0.909,0.78,0.714,0.706,0.741,0.942,0.97,0.81,ND,ND
7069,Pijijiapan,0.466,0.849,0.942,0.769,0.704,0.688,0.472,0.937,0.968,0.79,ND,ND
7070,El Porvenir,0.223,0.636,0.942,0.712,0.674,0.654,0.207,0.714,0.976,0.729,ND,ND
7071,Villa Comaltitlán,0.441,0.793,0.922,0.755,0.689,0.672,0.46,0.878,0.968,0.775,ND,ND
7072,Pueblo Nuevo Solistahuacán,0.943,0.84,0.949,0.745,0.604,0.585,0.964,0.861,0.961,0.77,ND,ND
7073,Rayón,0.777,0.912,0.933,0.781,0.668,0.652,0.835,0.907,0.967,0.798,ND,ND
7074,Reforma,0.906,0.946,0.969,0.859,0.755,0.738,0.872,0.96,0.984,0.848,ND,ND
7075,Las Rosas,0.725,0.846,0.952,0.735,0.644,0.632,0.685,0.892,0.957,0.767,ND,ND
7076,Sabanilla,0.817,0.523,0.877,0.735,0.646,0.615,0.743,0.616,0.894,0.747,ND,ND
7077,Salto de Agua,0.808,0.547,0.884,0.746,0.656,0.634,0.841,0.696,0.934,0.78,ND,ND
7078,San Cristóbal de las Casas,0.858,0.853,0.98,0.812,0.745,0.74,0.913,0.895,0.988,0.832,ND,ND
7079,San Fernando,0.822,0.907,0.967,0.818,0.735,0.717,0.83,0.938,0.986,0.832,ND,ND
7080,Siltepec,0.603,0.696,0.912,0.755,0.667,0.65,0.665,0.851,0.946,0.785,ND,ND
7081,Simojovel,0.882,0.523,0.95,0.705,0.608,0.585,0.867,0.637,0.975,0.738,ND,ND
7082,Sitalá,0.407,0.164,0.575,0.545,0.566,0.503,0.6,0.305,0.792,0.622,ND,ND
7083,Socoltenango,0.71,0.846,0.969,0.788,0.675,0.652,0.838,0.924,0.974,0.817,ND,ND
