Clave,Nombre,"Población de 6 y más años por condición para leer y escribir, y sexo",Población de 5 y más años por condición de asistencia escolar y sexo,Población de 5 y más años por nivel de escolaridad y sexo,Población de 18 y más años con nivel profesional,Población de 18 y más años con posgrado,Grado promedio de escolaridad de la población de 15 y más años,Población de 5 y más años por condición de habla indígena,"Población de 6 y más años por condición para leer y escribir, y sexo",Población de 5 y más años por condición de asistencia escolar y sexo,Población de 5 y más años por nivel de escolaridad y sexo,Población de 18 y más años con nivel profesional,Población de 18 y más años con posgrado,Grado promedio de escolaridad de la población de 15 y más años,Población de 5 y más años por condición de habla indígena
1001,Aguascalientes,619477,635311,635311,77112,6303,9.3,635311,700940,717057,717057,98749,10648,9.8,717057
1002,Asientos,34068,35211,35211,698,37,6.7,35211,39078,40174,40174,954,65,7.3,40174
1003,Calvillo,43087,44324,44324,1103,58,6.3,44324,47088,48273,48273,1496,148,6.9,48273
1004,Cosío,11549,11894,11894,426,24,7.1,11894,13029,13378,13378,577,28,7.8,13378
1005,Jesús María,67910,70173,70173,4201,336,7.7,70173,84805,87244,87244,7507,835,8.6,87244
1006,Pabellón de Arteaga,32746,33764,33764,2324,91,8,33764,36125,37066,37066,3035,243,8.6,37066
1007,Rincón de Romos,38172,39318,39318,2541,122,7.9,39318,42286,43482,43482,3120,308,8.5,43482
1008,San José de Gracia,6478,6668,6668,242,10,7.3,6668,7274,7454,7454,351,24,8,7454
1009,Tepezalá,14720,15176,15176,390,15,6.7,15176,16944,17429,17429,438,34,7.2,17429
1010,El Llano,14531,14989,14989,308,11,6.4,14989,16284,16731,16731,612,32,7.3,16731
1011,San Francisco de los Romo,23642,24433,24433,829,42,7.3,24433,30174,31119,31119,1235,83,7.9,31119
1996,No especificado,,,,,,,,,,,,,,
1997,Otros estados,,,,,,,,,,,,,,
2001,Ensenada,348877,357475,357475,33418,2297,8.6,357475,411815,420633,420633,45603,4773,8.9,420633
2002,Mexicali,709271,726114,726114,82059,4526,9.2,726114,817661,834904,834904,105905,9026,9.6,834904
2003,Tecate,75898,77719,77719,5130,268,8.3,77719,89046,90944,90944,7422,556,8.9,90944
2004,Tijuana,1117714,1146065,1146065,99750,5058,8.8,1146065,1368996,1399102,1399102,136867,11151,9.2,1399102
2005,Playas de Rosarito,58806,60410,60410,3469,152,8.1,60410,77124,78828,78828,5286,407,8.5,78828
2996,No especificado,,,,,,,,,,,,,,
2997,Otros estados,,,,,,,,,,,,,,
3001,Comondú,55429,56720,56720,3209,149,7.9,56720,62971,64382,64382,4579,246,8.2,64382
3002,Mulegé,44880,45928,45928,2049,77,7.4,45928,51847,52929,52929,3153,172,7.9,52929
3003,La Paz,185987,189826,189826,27048,1954,9.7,189826,223351,227538,227538,37324,3496,10.2,227538
3008,Los Cabos,132061,135769,135769,11972,381,8.9,135769,202284,207201,207201,22232,1347,9.3,207201
3009,Loreto,10392,10624,10624,786,19,8.5,10624,14593,14881,14881,1428,58,8.9,14881
3996,No especificado,,,,,,,,,,,,,,
3997,Otros estados,,,,,,,,,,,,,,
4001,Calkiní,44134,45116,45116,4300,170,7.4,45116,46965,47886,47886,5780,287,8.1,47886
4002,Campeche,210807,215213,215213,28963,2098,9,215213,232396,236702,236702,39204,4091,9.7,236702
4003,Carmen,172551,176725,176725,18163,1209,8.5,176725,192476,196599,196599,24532,2499,9.1,196599
4004,Champotón,66221,67868,67868,2760,105,6.4,67868,72887,74538,74538,3861,235,7.1,74538
4005,Hecelchakán,23739,24256,24256,2026,98,7.5,24256,24901,25428,25428,2866,112,8.1,25428
4006,Hopelchén,29850,30696,30696,967,33,6.4,30696,32618,33452,33452,1336,49,7,33452
4007,Palizada,7281,7447,7447,307,15,6.5,7447,7313,7483,7483,302,25,7.1,7483
4008,Tenabo,7983,8158,8158,474,9,7,8158,8560,8727,8727,650,20,7.6,8727
4009,Escárcega,42881,44129,44129,1589,57,6.3,44129,47155,48297,48297,2231,163,7,48297
4010,Calakmul,19855,20571,20571,160,7,5.2,20571,22857,23546,23546,272,25,6,23546
4011,Candelaria,31593,32606,32606,492,21,5.4,32606,35551,36469,36469,665,78,6.1,36469
4996,No especificado,,,,,,,,,,,,,,
4997,Otros estados,,,,,,,,,,,,,,
5001,Abasolo,902,918,918,20,2,7,918,987,995,995,42,2,7.7,995
5002,Acuña,105826,108966,108966,5704,216,8,108966,117643,120582,120582,7113,411,8.5,120582
5003,Allende,17414,17799,17799,977,51,8.1,17799,19731,20130,20130,1296,98,8.6,20130
5004,Arteaga,17143,17556,17556,458,18,6.5,17556,19794,20230,20230,806,83,7.3,20230
5005,Candela,1481,1521,1521,28,2,6.2,1521,1595,1630,1630,36,5,6.8,1630
5006,Castaños,20932,21445,21445,1209,33,8.2,21445,22873,23328,23328,1611,75,8.8,23328
5007,Cuatro Ciénegas,10612,10930,10930,563,23,7.5,10930,11503,11739,11739,729,33,8,11739
5008,Escobedo,2452,2509,2509,25,0,6.6,2509,2560,2610,2610,35,5,7.3,2610
5009,Francisco I. Madero,44753,45955,45955,2934,48,7.7,45955,49003,50070,50070,3347,134,8.2,50070
5010,Frontera,61087,62623,62623,4325,73,8.6,62623,66146,67611,67611,5508,165,9.1,67611
5011,General Cepeda,9944,10177,10177,168,10,6.1,10177,10354,10573,10573,240,6,6.8,10573
5012,Guerrero,1649,1686,1686,33,3,6.3,1686,1753,1794,1794,37,8,6.8,1794
5013,Hidalgo,1258,1297,1297,29,0,6.4,1297,1395,1435,1435,46,3,7.4,1435
5014,Jiménez,8470,8675,8675,89,1,6,8675,8756,8940,8940,127,9,6.4,8940
5015,Juárez,1267,1290,1290,31,2,6.7,1290,1421,1447,1447,29,1,7.2,1447
5016,Lamadrid,1529,1560,1560,79,1,7.5,1560,1667,1693,1693,77,3,7.9,1693
5017,Matamoros,85452,87789,87789,4657,144,7.7,87789,93890,96140,96140,5749,267,8.1,96140
5018,Monclova,174951,178972,178972,25742,994,9.7,178972,191329,195191,195191,30003,1757,10.1,195191
5019,Morelos,6249,6417,6417,300,29,8,6417,7205,7356,7356,366,33,8.4,7356
5020,Múzquiz,54486,55888,55888,3125,74,7.8,55888,59076,60333,60333,3884,186,8.2,60333
5021,Nadadores,5167,5276,5276,267,11,7.9,5276,5661,5768,5768,389,19,8.4,5768
5022,Nava,22053,22691,22691,905,24,7.7,22691,24091,24688,24688,1142,59,8.3,24688
5023,Ocampo,8851,9069,9069,278,36,6.8,9069,9538,9757,9757,297,29,7.3,9757
5024,Parras,39077,40062,40062,2483,89,8.1,40062,40126,40931,40931,2615,150,8.4,40931
5025,Piedras Negras,121671,125026,125026,11628,498,8.8,125026,131655,134769,134769,13663,882,9.2,134769
