Clave,Nombre,Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos)
1001,Aguascalientes,235293,1205235,1287313,3,10,7237,8718,248495,1296059,1480268,3,10,7452,10313,257050,1262125,1561574,3,11,7951,15132,264306,1194741,1727783,3,12,7984,14524,265202,1140179,1475136,3,12,8021,153544,272398,859249,1241559,3,12,8106,ND
1002,Asientos,10802,52013,38709,0,2,383,2228,11175,51152,39289,0,2,398,392,11543,62039,47345,0,2,408,397,11406,77352,75739,0,2,407,1756,11628,103105,88801,0,2,406,1813,12321,110640,108859,0,2,407,ND
1003,Calvillo,16985,62745,52554,0,2,383,1824,17024,63588,57076,0,2,396,226,17489,64346,58407,0,2,399,1162,17749,65901,66278,0,2,400,861,18024,73121,67152,0,2,415,1539,18470,72724,74437,0,2,423,ND
1004,Cosío,1976,11294,7919,0,1,191,1115,2036,11231,8005,0,0,192,462,2150,15305,9911,0,0,195,ND,2918,16127,12468,0,0,197,95,2989,17369,13006,0,0,197,0,3073,18487,15988,0,0,197,ND
1005,Jesús María,22543,191749,187207,0,1,606,2748,22572,206449,216204,0,1,651,188,25960,181172,199826,0,1,689,685,27415,199627,263679,0,1,695,0,30026,213873,252735,0,1,696,758,29947,365199,488734,0,1,711,ND
1006,Pabellón de Arteaga,11326,48341,44102,0,1,404,1673,11341,49109,48487,0,1,413,0,11232,52579,50412,0,1,415,ND,11835,47831,52793,0,1,429,0,11634,47595,48870,0,1,435,1610,11673,53532,59145,0,1,439,ND
1007,Rincón de Romos,13455,69434,58503,0,0,413,1415,13725,70387,62708,0,1,427,36,14179,86222,74875,0,1,454,938,14100,82888,82321,0,1,456,1421,14345,91425,79159,0,1,457,0,14750,90277,84032,0,1,464,ND
1008,San José de Gracia,2071,3788,4319,0,0,112,1181,2168,3959,4840,0,0,117,180,2338,4467,5967,0,0,120,493,2425,4542,6648,0,0,120,0,2511,4817,6888,0,0,120,0,2608,5249,7944,0,0,121,ND
1009,Tepezalá,4724,148098,100007,1,1,186,2431,4837,162071,116973,1,1,191,288,5126,209294,158048,1,1,199,383,5142,225959,230937,1,1,199,1159,5069,252335,232515,1,1,201,861,5226,245060,236307,1,1,204,ND
1010,El Llano,4255,14283,13538,0,1,271,826,4481,14345,14609,0,1,282,200,4711,17903,17629,0,1,291,135,4893,17481,19395,0,1,291,919,5093,19481,20236,0,1,292,597,5276,19681,21892,0,1,292,ND
1011,San Francisco de los Romo,9520,160047,154009,1,2,254,1551,10258,173466,179743,1,2,284,0,11833,188455,206425,1,2,284,ND,11693,181677,252151,1,2,286,0,11831,168136,192776,1,2,287,241,12736,358568,469862,1,2,291,ND
1996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,ND
1997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Ensenada,139527,800684,869889,2,14,10291,377,146394,861748,1021383,2,15,10412,14257,152378,890835,1072747,2,15,10551,47543,157943,862412,1209932,2,15,11295,13139,162447,862652,1069690,2,17,11389,1079,165854,829101,1146541,2,17,11389,ND
2002,Mexicali,312026,4205268,3820496,19,15,35310,2882,326122,4538409,4478270,23,15,29392,6912,336293,4626939,4753921,24,15,31161,14828,346780,4767734,5693493,23,15,32340,3162,348312,4664953,4860099,23,15,35172,928,348819,4484338,5102154,23,15,35172,ND
2003,Tecate,29959,98680,142956,0,4,1953,0,30929,107879,164397,0,4,2024,0,31984,111215,171222,0,4,2095,0,32624,114672,194570,1,4,2159,0,33203,109496,174815,1,4,2221,0,33768,110877,187207,1,4,2221,ND
2004,Tijuana,409743,3320415,3770321,4,16,18982,1417,431393,3522902,4377157,4,16,19497,2035,455640,3516919,4501116,4,16,20106,268,475342,3576445,5382988,6,16,20817,598,481249,3362671,4435418,6,17,21087,14644,486956,3437450,4969094,6,17,21087,ND
2005,Playas de Rosarito,26437,71296,111845,0,3,1125,97,28371,74261,125703,2,3,1245,67,30692,77233,134242,2,3,1283,321,31939,74464,139325,1,3,1188,100,32691,70050,124089,1,3,1346,0,33017,66613,123108,1,3,1346,ND
2996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,ND
2997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,Comondú,21153,186214,148924,3,3,1322,320,21787,188051,170137,3,9,1349,10900,22722,201765,182616,3,11,1418,19104,23408,202203,208474,4,11,1436,34598,23870,187346,171736,4,2,1438,16384,24200,200637,191159,4,2,1465,ND
3002,Mulegé,13888,79759,105928,1,0,910,51222,15396,83751,115102,1,0,922,78004,17012,96635,141734,2,0,938,24192,18190,104347,165631,2,0,1138,5550,18713,102134,147971,2,9,1151,152679,18863,102513,156644,2,9,1176,ND
3003,La Paz,77166,455736,579698,6,0,4255,4068,81166,489798,690997,6,0,4514,713681,84363,519985,766601,10,0,4788,316724,88736,609519,976095,9,0,5072,89929,91912,654529,920293,9,0,5349,107809,94104,645089,977944,9,0,5560,ND
3008,Los Cabos,67211,562640,766648,7,0,3257,3139,69291,651509,955468,7,0,3622,194817,76188,720576,1093803,8,0,3908,103775,82891,810205,1394954,9,0,4209,23424,85726,816525,1243356,9,0,4587,40874,88293,813609,1351082,9,0,4719,ND
3009,Loreto,4452,31076,37560,2,0,299,496,4928,35213,49164,2,0,319,481,5609,39023,56350,2,0,329,13907,6129,43387,65417,2,0,337,168,6341,45632,64640,2,1,345,49360,6776,46060,67800,2,1,372,ND
3996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,ND
3997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,Calkiní,12213,25988,28128,1,0,520,6294,12708,29459,35301,1,0,533,5726,13041,31668,37810,1,0,550,3336,13658,35500,47687,1,0,558,671,13910,40504,47687,ND,ND,ND,ND,13407,24661,34189,1,0,593,ND
4002,Campeche,76908,359248,433803,8,0,3931,42072,78147,371937,485865,5,0,4064,9686,79869,383754,516910,5,0,4124,92323,80789,385366,587841,5,0,4192,96363,83549,404581,560042,ND,ND,ND,ND,84877,232537,342963,5,0,4432,ND
4003,Carmen,59118,361859,523605,1,4,2258,3015,62265,511491,566891,1,4,2979,11606,64226,384016,618174,1,4,3069,38975,61869,391606,686818,1,4,3123,38481,63860,426692,658194,ND,ND,ND,ND,65793,222481,352937,1,4,3178,ND
4004,Champotón,17910,54164,59937,2,1,524,4632,18891,58994,71955,2,1,544,4116,20040,60782,77715,2,1,564,3438,20906,61771,86864,1,1,581,2670,21271,60854,80974,ND,ND,ND,ND,21471,35622,51086,1,1,597,ND
4005,Hecelchakán,5721,12113,13341,1,0,111,5162,5952,14004,16622,1,0,113,1836,6244,15803,19250,1,0,113,3623,6399,16218,21788,1,0,117,0,6519,15424,20218,ND,ND,ND,ND,7198,9394,13020,1,0,125,ND
4006,Hopelchén,6925,21051,22058,0,1,363,731,8191,23297,26047,0,1,367,9371,8566,25798,30163,0,1,376,2832,10726,42385,45695,0,1,381,2509,10974,52374,48159,ND,ND,ND,ND,11069,34491,32866,0,1,423,ND
4007,Palizada,ND,ND,ND,ND,ND,ND,468,ND,6918,8737,ND,ND,ND,638,ND,ND,ND,ND,ND,ND,1203,ND,ND,ND,ND,ND,ND,709,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
4008,Tenabo,1892,6283,6254,0,0,79,1286,1993,7138,7521,0,0,80,1131,2260,7261,9844,0,0,80,649,2119,8308,11159,0,0,84,0,2193,7475,9759,ND,ND,ND,ND,2502,4552,6310,0,0,95,ND
4009,Escárcega,11902,30835,40873,2,0,800,3170,12414,30613,44740,2,0,813,5588,12293,33723,45805,2,0,822,2147,17963,41532,62104,2,0,848,3346,17993,52501,70556,ND,ND,ND,ND,18498,33556,40492,2,0,912,ND
4010,Calakmul,2694,5606,7110,0,0,173,18708,2840,5796,7991,0,0,177,108720,3219,14782,24131,0,0,183,60559,4052,17313,25889,0,0,187,18830,4535,8299,25889,ND,ND,ND,ND,4526,5304,14860,0,1,227,ND
4011,Candelaria,5935,12157,14596,0,2,250,7901,7367,13235,17782,0,2,257,15447,8892,16620,22663,0,2,264,14791,11354,20556,30052,0,2,273,912,11360,23779,36121,ND,ND,ND,ND,11110,12877,19705,0,2,289,ND
4996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,ND
4997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,Abasolo,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5002,Acuña,ND,ND,ND,ND,ND,ND,1116,ND,ND,ND,ND,ND,ND,149,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,3811,ND,ND,ND,ND,ND,ND,3876,ND,ND,ND,ND,ND,ND,ND
5003,Allende,ND,ND,ND,ND,ND,ND,654,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,481,ND,ND,ND,ND,ND,ND,914,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5004,Arteaga,ND,ND,ND,ND,ND,ND,182,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,6118,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5005,Candela,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,79,ND,ND,ND,ND,ND,ND,292,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5006,Castaños,ND,ND,ND,ND,ND,ND,357,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,1313,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5007,Cuatro Ciénegas,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,1410,ND,ND,ND,ND,ND,ND,717,ND,ND,ND,ND,ND,ND,ND
5008,Escobedo,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,766,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5009,Francisco I. Madero,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,71,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5010,Frontera,ND,ND,ND,ND,ND,ND,1533,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,180,ND,ND,ND,ND,ND,ND,1243,ND,ND,ND,ND,ND,ND,533,ND,ND,ND,ND,ND,ND,ND
5011,General Cepeda,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,2902,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5012,Guerrero,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,198,ND,ND,ND,ND,ND,ND,1101,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5013,Hidalgo,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,2351,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5014,Jiménez,ND,ND,ND,ND,ND,ND,142,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,1136,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5015,Juárez,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,344,ND,ND,ND,ND,ND,ND,217,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5016,Lamadrid,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,547,ND,ND,ND,ND,ND,ND,214,ND,ND,ND,ND,ND,ND,ND
5017,Matamoros,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,1414,ND,ND,ND,ND,ND,ND,2480,ND,ND,ND,ND,ND,ND,ND
5018,Monclova,ND,ND,ND,ND,ND,ND,807,ND,ND,ND,ND,ND,ND,882,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,1981,ND,ND,ND,ND,ND,ND,ND
5019,Morelos,ND,ND,ND,ND,ND,ND,278,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,583,ND,ND,ND,ND,ND,ND,539,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND
5020,Múzquiz,ND,ND,ND,ND,ND,ND,4251,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,134,ND,ND,ND,ND,ND,ND,6484,ND,ND,ND,ND,ND,ND,3344,ND,ND,ND,ND,ND,ND,ND
5021,Nadadores,ND,ND,ND,ND,ND,ND,279,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,1858,ND,ND,ND,ND,ND,ND,329,ND,ND,ND,ND,ND,ND,ND
5022,Nava,ND,ND,ND,ND,ND,ND,188,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,672,ND,ND,ND,ND,ND,ND,1020,ND,ND,ND,ND,ND,ND,ND
