Clave,Nombre,Poblaci—n total,Poblaci—n de 15 a 29 a–os a/,Poblaci—n de 60 y m‡s a–os a/,Edad mediana b/,Promedio de hijos nacidos vivos de las mujeres de 12 y m‡s a–os,Poblaci—n en hogares,Hogares,Tama–o promedio de los hogares c/,Relaci—n hombres-mujeres d/,Poblaci—n total,Poblaci—n de 15 a 29 a–os a/,Poblaci—n de 60 y m‡s a–os a/,Edad mediana b/,Promedio de hijos nacidos vivos de las mujeres de 12 y m‡s a–os,Poblaci—n en hogares,Hogares,Tama–o promedio de los hogares c/,Relaci—n hombres-mujeres d/
1001,Aguascalientes,723043,27.1,6.9,24,2.4,709280,173948,4.1,93.4,797010,27.2,7.7,25,2.2,791370,201071,3.9,94.1
1002,Asientos,40547,27.2,7.6,20,3.2,40347,8834,4.6,95.9,45492,27.7,7.9,21,2.9,45423,10007,4.5,98
1003,Calvillo,50183,25,9.6,21,3.1,49899,11350,4.4,91.8,54136,26.1,10.4,23,2.9,54041,12834,4.2,94.1
1004,Cos’o,13687,25.6,7.4,20,3,13658,2968,4.6,91.5,15042,27.2,7.9,22,2.8,15036,3465,4.3,95
1005,Jesœs Mar’a,82623,27,5,20,2.7,81467,18002,4.5,96.4,99590,26.6,5.5,22,2.4,99211,22806,4.4,97.2
1006,Pabell—n de Arteaga,38912,27.7,6.6,20,2.8,38619,8531,4.5,93.5,41862,28.1,7.3,22,2.6,41752,9392,4.5,93
1007,Rinc—n de Romos,45471,27.2,7,20,3,44937,9717,4.6,93.1,49156,28.1,7.3,22,2.7,49080,11078,4.4,95.9
1008,San Jos_ de Gracia,7631,25.4,9.2,20,3.3,7603,1672,4.6,89.3,8443,27.9,9,21,3,8398,1884,4.5,91.9
1009,Tepezal‡,17372,26.7,8,20,3.3,17296,3682,4.7,91.9,19668,27.7,8.5,21,2.9,19668,4446,4.4,95.4
1010,El Llano,17115,25.7,7.5,20,3.2,16716,3591,4.7,99.9,18828,27.4,7.8,22,2.9,18492,4154,4.5,103.4
1011,San Francisco de los Romo,28832,27.1,5.4,20,2.8,28489,6610,4.3,94.5,35769,27.1,5.5,21,2.6,35652,8438,4.2,96.6
1996,No especificado,,,,,,,,,,,,,,,,,,
1997,Otros estados,,,,,,,,,,,,,,,,,,
2001,Ensenada,413481,28.1,7,24,2.3,391517,106983,3.7,100.2,466814,28,7.7,25,2.2,458584,128665,3.6,101.5
2002,Mexicali,855962,27.2,7.4,25,2.3,802766,218912,3.7,101.2,936826,26.5,8,27,2.2,912789,259566,3.5,102.1
2003,Tecate,91034,28.7,6.3,25,2.5,82095,22003,3.7,111.7,101079,27.4,7.1,26,2.3,95561,26024,3.7,111.7
2004,Tijuana,1410687,28.9,5.3,24,2.2,1277454,332110,3.9,101.1,1559683,27.6,6,26,2.1,1534829,420277,3.7,101
2005,Playas de Rosarito,73305,27.6,5.9,23,2.4,67542,17242,3.9,103.3,90668,27.2,7.1,25,2.2,87373,24144,3.6,104.4
2996,No especificado,,,,,,,,,,,,,,,,,,
2997,Otros estados,,,,,,,,,,,,,,,,,,
3001,Comondœ,63830,25.7,8.1,25,2.6,62318,16586,3.8,101.5,70816,24.9,9.1,27,2.5,69466,19012,3.7,106
3002,Muleg_,52743,27.1,7.7,24,2.4,50041,13794,3.6,109.9,59114,27.1,8.1,25,2.3,58216,16492,3.5,107.4
3003,La Paz,219596,28.1,7.4,26,2.2,206591,56531,3.7,100.1,251871,27.2,8.3,28,2.1,245514,70009,3.5,100.7
3008,Los Cabos,164162,30.7,3.7,24,2.1,155081,42258,3.7,109.1,238487,29.3,3.9,25,1.9,232502,64903,3.6,106.7
3009,Loreto,11839,26.9,7.2,25,2.4,11553,3064,3.8,103.5,16738,27.5,7.4,27,2.3,16277,4630,3.5,113.1
3996,No especificado,,,,,,,,,,,,,,,,,,
3997,Otros estados,,,,,,,,,,,,,,,,,,
4001,Calkin’,49850,30.5,9.9,24,2.5,49666,11259,4.4,98,52890,29.1,10.6,25,2.4,52678,12666,4.2,97.2
4002,Campeche,238850,28.1,8.4,26,2.1,234352,62706,3.7,93.7,259005,27.4,9.3,28,2,256322,71054,3.6,94.1
4003,Carmen,199988,28.6,5.8,24,2.2,195934,51284,3.8,99.5,221094,28.4,6.6,26,2.1,216579,57656,3.8,99.6
4004,Champot—n,76116,27.3,7.9,22,2.7,75654,18469,4.1,100.6,83021,27.4,8.6,24,2.6,82666,21106,3.9,101.2
4005,Hecelchak‡n,26973,30.2,8.6,23,2.5,26909,6041,4.5,100.4,28306,28.8,9.5,25,2.4,28284,6766,4.2,99.2
4006,Hopelch_n,34687,28.9,8,20,2.9,34635,7146,4.9,104.3,37777,28.3,8.7,22,2.8,37733,8329,4.5,104.5
4007,Palizada,8290,25.2,9.7,25,2.7,8283,2167,3.8,104.1,8352,24.4,11.3,26,2.6,8316,2181,3.8,102.6
4008,Tenabo,9050,31.1,9.1,24,2.6,9040,2014,4.5,105.5,9736,28.6,9.8,26,2.6,9736,2376,4.1,105.7
4009,Esc‡rcega,50106,26.9,6.8,20,2.9,49613,11591,4.3,95.8,54184,28.3,7.6,22,2.7,54037,13299,4.1,97.9
4010,Calakmul,23814,26.3,5.8,17,3.2,23773,4941,4.8,104,26882,28,6.5,19,3,26861,5901,4.6,103.1
4011,Candelaria,37006,25.1,7.3,19,3.2,36791,8516,4.3,101,41194,26.6,8,21,3.1,40958,10298,4,103.2
4996,No especificado,,,,,,,,,,,,,,,,,,
4997,Otros estados,,,,,,,,,,,,,,,,,,
5001,Abasolo,991,19.8,18.2,34,2.8,979,311,3.2,98.6,1070,21.1,19.3,34,2.6,1070,362,3,98.5
5002,Acu–a,126238,28.6,4.9,23,2.4,123939,31056,4,101.5,136755,26.4,5.7,24,2.3,134647,36135,3.7,99.9
5003,Allende,20153,24.7,9.3,25,2.4,19664,5250,3.8,95.9,22675,25.5,10,26,2.4,22181,6167,3.6,96.1
5004,Arteaga,19622,25.4,10.6,24,3,19488,4920,4,104.1,22544,25.1,11,26,2.7,22281,5832,3.8,104.9
5005,Candela,1672,20.5,17.5,30,3,1672,492,3.4,109.3,1808,22.3,16.3,30,3.1,1793,524,3.4,108.1
5006,Casta–os,23871,26.7,8.8,25,2.7,23813,6094,3.9,98.2,25892,26.4,9.2,26,2.5,25806,6836,3.8,100
5007,Cuatro Ci_negas,12220,24.3,10.6,24,2.9,12147,3137,3.9,102.2,13013,23.8,11.5,26,2.8,12992,3598,3.6,101.8
5008,Escobedo,2778,23.8,13,26,2.9,2774,756,3.7,99.3,2901,25.4,12.6,26,2.8,2892,807,3.6,103.4
5009,Francisco I. Madero,51528,26.4,8.6,24,2.8,51407,12425,4.1,98.5,55676,25.2,8.9,25,2.5,55594,13949,4,99.3
5010,Frontera,70160,27,7.5,25,2.5,69656,17841,3.9,99.8,75215,26.2,8.4,26,2.4,74904,19377,3.9,99.8
5011,General Cepeda,11284,24,13.3,25,3.4,11239,2843,4,108.6,11682,24,14.2,27,3.1,11663,3096,3.8,108.2
5012,Guerrero,1877,25.3,12.6,27,3,1868,563,3.3,122.4,2091,23.4,12.5,27,3,1962,576,3.4,114.2
5013,Hidalgo,1516,29.7,7.2,23,2.8,1505,418,3.6,117.5,1852,26.5,6.8,22,2.7,1660,436,3.8,106.5
5014,Jim_nez,9768,25,9.7,24,2.8,9665,2531,3.8,103.1,9935,24.7,10.5,26,2.7,9798,2644,3.7,103
5015,Ju‡rez,1393,21.5,11.8,27,3,1393,398,3.5,100.4,1599,25.6,11.9,27,2.7,1593,446,3.6,107.1
5016,Lamadrid,1708,20.8,16.1,30,2.8,1705,493,3.5,103.8,1835,20.2,17.4,32,2.7,1832,548,3.3,105.3
5017,Matamoros,99707,26.7,7.9,24,2.8,98847,23418,4.2,98.6,107160,25.5,8.8,25,2.6,106695,25995,4.1,99.2
5018,Monclova,200160,26.1,8,26,2.3,196834,52112,3.8,98.6,216206,25.7,9.1,27,2.2,214371,58373,3.7,98.7
5019,Morelos,7221,24.7,9.4,25,2.6,7142,1939,3.7,102.5,8207,24.3,10,25,2.5,8112,2226,3.6,99.6
5020,Mœzquiz,62710,25.1,9.8,25,2.7,61982,16294,3.8,99.9,66834,25.1,10.6,26,2.5,66614,17820,3.7,100.3
5021,Nadadores,5822,25.5,10.8,27,2.6,5795,1553,3.7,102.7,6335,25.2,12.2,28,2.5,6329,1776,3.6,101.2
5022,Nava,25856,26.2,6.1,22,2.6,25580,6281,4.1,103.9,27928,26.3,6.9,23,2.5,27522,7045,3.9,104
5023,Ocampo,10183,23.9,9.4,24,3,10140,2626,3.9,107.9,10991,24.7,9.9,24,2.8,10898,2778,3.9,105.9
5024,Parras,44715,25.1,9.5,24,2.8,44325,11094,4,102.6,45401,25.2,10.8,26,2.6,44753,11699,3.8,103.2
5025,Piedras Negras,143915,26.3,6.9,24,2.4,139549,36838,3.8,98.7,152806,26.3,7.5,25,2.3,149168,40166,3.7,100
5026,Progreso,3379,24.3,12.4,25,3,3336,930,3.6,104.4,3473,24.9,12.5,26,2.8,3473,967,3.6,104.4
5027,Ramos Arizpe,56708,27.4,5.9,24,2.3,55431,14226,3.9,103.2,75461,26.6,5.8,25,2.2,74307,19958,3.7,103.1
