Clave,Nombre,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/
1001,Aguascalientes,196,0,0,0,51,208108,66,61,61,235293,428,7,118,22,17,27,ND,ND,ND,ND,ND,ND,ND,ND,ND,248495,537,7,118,22,17,28,ND,ND,ND,ND,ND,ND,ND,ND,ND,257050,490,90,37,22,17,28,ND,ND,ND,ND,54,ND,69,ND,ND,264306,489,100,37,22,17,28,ND,ND,ND,ND,55,230131,72,67,67,265202,489,125,37,22,16,26,ND,ND,ND,ND,55,234600,72,67,73,272398,490,130,41,22,16,27
1002,Asientos,ND,0,0,0,ND,ND,ND,52,52,10802,120,1,6,4,4,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,11175,151,4,13,4,4,3,ND,ND,ND,ND,ND,968,ND,ND,ND,11543,137,ND,ND,4,4,3,ND,ND,ND,ND,57,ND,60,ND,ND,11406,137,4,24,4,4,3,ND,ND,ND,ND,56,1000,66,66,66,11628,137,4,24,4,2,2,ND,ND,ND,ND,57,1012,67,66,70,12321,137,13,22,4,2,2
1003,Calvillo,40,0,0,0,39,13437,49,41,41,16985,114,2,19,39,34,34,ND,ND,ND,ND,ND,ND,ND,ND,ND,17024,144,2,19,39,34,35,ND,ND,ND,ND,ND,11376,ND,ND,ND,17489,120,2,ND,39,34,35,ND,ND,ND,ND,48,11376,58,ND,ND,17749,120,2,19,39,34,35,ND,ND,ND,ND,53,ND,70,49,49,18024,120,2,29,39,34,35,ND,ND,ND,ND,55,14685,72,49,50,18470,119,2,29,39,34,35
1004,Cosío,ND,0,0,0,ND,ND,ND,14,14,1976,36,1,9,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,2036,39,1,9,1,1,1,ND,ND,ND,ND,ND,3577,ND,ND,ND,2150,34,9,1,1,1,1,ND,ND,ND,ND,16,3577,17,ND,ND,2918,34,11,2,1,1,1,ND,ND,ND,ND,16,3577,19,17,17,2989,34,14,2,1,1,1,ND,ND,ND,ND,17,3776,20,17,19,3073,34,14,2,1,1,1
1005,Jesús María,37,0,0,0,32,17572,40,40,40,22543,165,2,10,17,17,9,ND,ND,ND,ND,ND,ND,ND,ND,ND,22572,192,ND,ND,17,17,9,ND,ND,ND,ND,ND,17501,ND,ND,ND,25960,192,ND,ND,17,17,9,ND,ND,ND,ND,41,19742,49,ND,ND,27415,187,11,9,17,17,9,ND,ND,ND,ND,41,20131,50,48,48,30026,187,10,10,17,17,9,ND,ND,ND,ND,41,22635,50,48,51,29947,187,10,10,17,17,9
1006,Pabellón de Arteaga,16,0,0,0,14,7190,15,14,14,11326,157,5,6,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,11341,185,7,8,0,0,0,ND,ND,ND,ND,ND,8864,ND,ND,ND,11232,159,5,6,0,0,0,ND,ND,ND,ND,16,8864,17,ND,ND,11835,159,4,7,0,0,0,ND,ND,ND,ND,17,9301,19,19,19,11634,159,5,7,0,0,0,ND,ND,ND,ND,18,10905,20,19,21,11673,159,4,7,0,0,0
1007,Rincón de Romos,22,0,0,0,21,9856,23,21,21,13455,187,7,15,6,5,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,13725,230,ND,ND,6,5,4,ND,ND,ND,ND,ND,10227,ND,ND,ND,14179,198,7,15,6,5,4,ND,ND,ND,ND,24,11087,26,ND,ND,14100,196,7,17,6,5,4,ND,ND,ND,ND,24,10824,27,22,22,14345,196,7,17,6,5,4,ND,ND,ND,ND,25,11440,28,22,25,14750,196,17,18,6,5,4
1008,San José de Gracia,9,1,18,1,7,1859,11,6,6,2071,19,1,6,357,352,46,ND,ND,ND,ND,ND,ND,ND,ND,ND,2168,30,ND,ND,357,352,46,ND,ND,ND,ND,ND,1969,ND,ND,ND,2338,20,1,9,357,352,46,ND,ND,ND,ND,9,1969,13,ND,ND,2425,20,1,6,368,352,46,ND,ND,ND,ND,9,2050,15,9,9,2511,20,3,6,368,352,46,ND,ND,ND,ND,9,2110,15,9,9,2608,20,2,6,368,352,46
1009,Tepezalá,ND,1,20,0,ND,ND,ND,20,20,4724,71,1,22,2,1,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,4837,76,ND,ND,2,1,0,ND,ND,ND,ND,ND,3094,ND,ND,ND,5126,68,ND,ND,2,1,0,ND,ND,ND,ND,28,3094,28,ND,ND,5142,67,2,7,2,1,0,ND,ND,ND,ND,28,5328,29,29,29,5069,67,1,21,2,ND,ND,ND,ND,ND,ND,28,5375,29,29,29,5226,67,2,28,2,1,0
1010,El Llano,ND,0,0,0,ND,ND,ND,29,29,4255,95,1,13,7,6,7,ND,ND,ND,ND,ND,ND,ND,ND,ND,4481,142,ND,ND,7,6,7,ND,ND,ND,ND,ND,9392,ND,ND,ND,4711,125,ND,ND,7,6,7,ND,ND,ND,ND,24,ND,66,ND,ND,4893,125,15,0,7,6,7,ND,ND,ND,ND,27,4504,71,34,34,5093,80,2,3,7,ND,ND,ND,ND,ND,ND,28,4825,72,34,34,5276,125,2,5,7,6,8
